id,name,description
map_094,Map 94 Northern Cameroon,Sub-Saharan Africa
map_095,Map 95 South-Eastern Nigeria and Mid-Western Cameroon,Sub-Saharan Africa
map_096,"Map 96 South Plateau, Nigeria",Sub-Saharan Africa
map_097,"Map 97 North Plateau, Nigeria",Sub-Saharan Africa
map_098,Map 98 North-Eastern Nigeria,Sub-Saharan Africa
map_099,Map 99 Lake Chad Region,Sub-Saharan Africa
map_100,Map 100 Northern Nigeria and Niger,Sub-Saharan Africa
map_101,Map 101 South-Western Nigeria,Sub-Saharan Africa
map_102,Map 102 Benin and Togo,Sub-Saharan Africa
map_103,Map 103 Ghana,Sub-Saharan Africa
map_104,Map 104 Burkina Faso,Sub-Saharan Africa
map_105,Map 105 Ivory Coast,Sub-Saharan Africa
map_106,Map 106 Liberia and Sierra Leone,Sub-Saharan Africa
map_107,Map 107 Guinea and Mali,Sub-Saharan Africa
map_108,"Map 108 Senegal, Gambia and Guinea Bissau",Sub-Saharan Africa
